ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.128.44.130","elite","AS262605","BR","BRASIL TECNOLOGIA E PARTICIPACOES S/A","244","BRASIL TECNOLOGIA E PARTICIPACOES S/A","31337","socks4","910","1","2023-01-26T11:08:22.354Z","100","799","801"
"103.109.196.49","elite","AS4787","ID","PT Cyberindo Aditama","197","CV. Artikulasi Mandiri","5678","socks4","220","1","2023-01-26T11:08:22.753Z","99","903","911"
"103.47.93.113","elite","AS134058","IN","Broban Internet Services Pvt.ltd","218","Broban  PVT Ltd.","1080","socks4","681","1","2023-01-26T11:08:22.552Z","100","891","893"
"188.255.244.49","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","38","Orion Telekom Tim d.o.o.Beograd","1080","socks4","503","1","2023-01-26T11:08:22.634Z","100","831","831"
"51.254.44.184","elite","AS16276","FR","OVH SAS","4","OVH","1135","socks4","66","1","2023-01-26T11:08:21.655Z","100","911","911"
"101.51.104.138","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","969","1","2023-01-26T11:08:21.480Z","65","538","822"
"93.171.224.44","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","54","PE TV and Radio Company Kentavr-TV","4153","socks4","149","1","2023-01-26T11:08:21.657Z","98","894","911"
"88.20.124.158","elite","AS3352","ES","Telefonica de Espana SAU","35","RIMA (Red IP Multi Acceso)","4145","socks4","1051","1","2023-01-26T11:08:21.846Z","99","857","862"
"42.121.118.160","elite","AS37963","CN","Addresses CNNIC","197","Aliyun Computing Co., LTD","1080","socks5","104","1","2023-01-26T11:08:21.159Z","98","851","872"
"182.23.108.164","elite","AS4800","ID","PT Aplikanusa Lintasarta","206","N/A","4153","socks4","930","1","2023-01-26T11:08:21.525Z","97","867","891"
"68.183.17.152","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","8016","socks5","1075","1","2023-01-26T11:08:21.846Z","82","737","900"
"196.41.46.242","elite","AS30844","TZ","RAHA-LTZ","164","RAHA Ltd","5678","socks4","993","2","2023-01-26T11:08:21.479Z","70","621","882"
"23.88.124.86","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","80","socks4","321","1","2023-01-26T11:08:21.782Z","100","794","794"
"3.69.30.73","elite","AS16509","DE","Amazon Technologies Inc.","10","AWS EC2 (eu-central-1)","17651","socks5","1087","1","2023-01-26T11:08:21.845Z","48","400","835"
"105.213.188.163","elite","AS16637","ZA","MTN SA","179","MTN SA","5678","socks4","955","1","2023-01-26T11:08:21.295Z","97","874","898"
"109.238.208.130","elite","AS48574","CZ","Planet A, a.s.","23","Planet A","4153","socks4","995","1","2023-01-26T11:08:21.293Z","100","909","913"
"104.251.94.199","elite","AS20454","US","Secured Servers LLC","142","BraveWay","27507","socks5","356","1","2023-01-26T11:08:21.614Z","100","827","829"
"187.72.1.252","elite","AS16735","BR","ALGAR TELECOM S/A","228","ALGAR TELECOM S/A","4153","socks4","313","1","2023-01-26T11:08:21.158Z","99","903","915"
"80.78.130.106","elite","AS202913","ES","CLOUDWIFI, SL","66","CLOUDWIFI, SL","3000","socks4","226","1","2023-01-26T11:08:21.918Z","100","915","915"
"202.163.72.74","elite","AS9541","PK","Cyber Internet Services (Private) Limited","157","Broadband Services","4153","socks4","143","1","2023-01-26T11:08:21.793Z","71","641","908"
"103.242.104.242","elite","AS58821","ID","PT Lintas Jaringan Nusantara","178","PT Lintas Jaringan Nusantara","5678","socks4","972","1","2023-01-26T11:08:21.294Z","99","816","827"
"110.76.129.30","elite","AS59362","BD","KS Network Limited","181","N/A","5678","socks4","1004","1","2023-01-26T11:08:21.292Z","98","894","915"
"80.244.229.102","anonymous","AS21353","RU","Enforta-MSK","61","ArtCommunications Ltd.","10000","http","914","636","2023-01-26T11:08:21.527Z","98","782","799"
"41.128.72.62","elite","AS24863","EG","LINKdotNET AS number","58","Link Egypt (Link.NET)","5678","socks4","47","1","2023-01-26T11:08:21.790Z","98","896","916"
"178.250.70.218","elite","AS51580","IT","Timenet SPA","34","Time-net S.R.L","1088","socks4","744","1","2023-01-26T11:08:20.643Z","98","893","915"
"95.217.132.133","elite","AS24940","FI","Hetzner Online GmbH","39","HETZNER-DC","3512","socks5","961","1","2023-01-26T11:08:20.499Z","88","789","901"
"177.240.27.141","anonymous","AS262916","MX","Mega Cable, S.A. de C.V.","150","Mega Cable, S.A. de C.V","999","http","750","640","2023-01-26T11:08:20.628Z","97","772","795"
"95.38.95.40","elite","AS41881","IR","Fanava Group","99","Fanava Group","8085","socks5","113","1","2023-01-26T11:08:20.894Z","93","759","814"
"117.84.165.182","elite","AS4134","CN","Chinanet","181","Chinanet JS","1080","socks5","321","1","2023-01-26T11:08:20.893Z","71","563","798"
"47.98.183.59","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","207","Aliyun Computing Co., LTD","3128","socks5","902","1","2023-01-26T11:08:20.580Z","99","881","893"
"200.71.115.3","elite","AS263771","VE","IP NET, C.A.","144","IP NET, C.A","8081","http","935","327","2023-01-26T11:08:20.892Z","98","777","796"
"45.7.177.220","elite","AS266626","BR","Litoral Telecom","201","Litoral Telecom","39867","socks4","1000","1","2023-01-26T11:08:20.161Z","99","908","917"
"109.167.83.209","elite","AS29119","ES","ServiHosting Networks S.L.","65","Ciberdolar","5678","socks4","1033","1","2023-01-26T11:08:20.361Z","98","878","896"
"61.247.180.182","elite","AS38031","BD","Optimax Communication Ltd.","156","OptiMax Communication Ltd","10800","socks4","212","1","2023-01-26T11:08:20.893Z","99","904","916"
"178.162.202.44","elite","AS28753","DE","Leaseweb Deutschland GmbH","20","Leaseweb Deutschland GmbH","2261","socks4","512","1","2023-01-26T11:08:20.645Z","100","914","915"
"209.97.160.204","elite","AS14061","SG","DigitalOcean, LLC","166","DigitalOcean, LLC","3103","socks5","944","1","2023-01-26T11:08:20.578Z","99","905","910"
"180.122.147.184","elite","AS4134","CN","Chinanet","233","Chinanet JS","1080","socks4","448","1","2023-01-26T11:08:20.789Z","84","753","899"
"45.15.170.94","elite","AS35913","US","DediPath","138","DediPath","32768","socks4","1035","1","2023-01-26T11:08:20.167Z","96","793","827"
"1.10.229.230","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","710","1","2023-01-26T11:08:20.678Z","56","447","797"
"188.136.162.30","elite","AS48309","IR","Ariana Gostar Spadana's","105","N/A","4153","socks4","1067","1","2023-01-26T11:08:20.357Z","99","874","881"
"103.28.86.241","elite","AS58504","NP","Alternate ISP","273","N/A","57230","socks4","991","1","2023-01-26T11:08:20.626Z","97","891","915"
"192.169.244.80","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","21301","socks5","467","1","2023-01-26T11:08:20.757Z","96","798","830"
"200.236.221.242","elite","AS28166","BR","Telecom South America S/A","227","Telecom South America S/A","33054","socks4","673","1","2023-01-26T11:08:20.758Z","100","802","806"
"104.21.102.95","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1049","1","2023-01-26T11:08:20.496Z","100","900","900"
"173.195.27.134","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","933","1","2023-01-26T11:08:20.888Z","100","847","847"
"38.127.179.249","elite","AS174","US","Cogent Communications","82","Torlandia Trading SRL","11537","socks5","727","1","2023-01-26T11:08:20.582Z","100","856","857"
"149.202.172.226","elite","AS16276","FR","OVH SAS","6","OVH","8080","socks4","255","1","2023-01-26T11:08:20.752Z","100","851","851"
"185.97.121.197","elite","AS200752","IT","Unitel S.R.L.","40","Spinnaker Srl","4153","socks4","492","1","2023-01-26T11:08:20.678Z","99","895","905"
"45.7.177.250","elite","AS266626","BR","Litoral Telecom","197","Litoral Telecom","39867","socks4","923","1","2023-01-26T11:08:20.889Z","99","900","913"
"104.16.226.6","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","264","1","2023-01-26T11:08:20.751Z","100","910","911"
"103.120.192.17","elite","AS134585","BD","Sheetal Broadband","192","Reza MD Samsuzzoha","6969","socks4","740","1","2023-01-26T11:08:20.154Z","98","856","875"
"49.48.147.64","elite","AS45629","TH","Triple T Broadband Public Company Limited","172","Triple T Broadband Public Company Limited","8080","socks4","973","1","2023-01-26T11:08:20.627Z","98","842","855"
"211.137.33.22","elite","AS56044","CN","China Mobile communications corporation","269","China Mobile Communications Corporation","80","socks5","954","1","2023-01-26T11:08:19.851Z","96","827","857"
"129.226.90.169","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","336","Aceville Pte.ltd","443","socks5","948","1","2023-01-26T11:08:19.490Z","72","654","911"
"202.92.5.126","elite","AS135905","VN","INET","240","iNET Media Company Limited","44879","socks5","960","1","2023-01-26T11:08:19.850Z","98","892","911"
"119.23.108.149","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","215","Aliyun Computing Co., LTD","6111","socks5","196","1","2023-01-26T11:08:19.173Z","91","774","849"
"50.62.57.97","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","43879","socks4","1012","1","2023-01-26T11:08:19.488Z","100","794","795"
"202.131.241.210","elite","AS9484","MN","MOBINET-LL","107","N/A","1080","socks4","987","1","2023-01-26T11:08:19.845Z","100","882","883"
"183.63.148.220","elite","AS4134","CN","Chinanet","208","Chinanet GD","1080","socks4","148","1","2023-01-26T11:08:19.174Z","88","807","915"
"81.91.157.134","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","101","N/A","5678","socks5","1053","1","2023-01-26T11:08:19.194Z","97","889","915"
"101.51.105.167","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","1007","1","2023-01-26T11:08:19.849Z","57","488","863"
"165.225.24.50","elite","AS62044","DE","Zscaler Switzerland GmbH","11","Zscaler, Inc.","10007","socks4","979","1","2023-01-26T11:08:19.846Z","100","893","894"
"122.3.255.114","elite","AS9299","PH","Philippine Long Distance Telephone Co.","214","Philippine Long Distance Telephone Company","4145","socks4","1034","1","2023-01-26T11:08:19.195Z","48","442","915"
"54.36.45.19","elite","AS16276","BE","OVH SAS","4","OVH BE","59438","socks4","1020","1","2023-01-26T11:08:19.488Z","100","851","851"
"186.232.119.58","anonymous","AS53190","BR","G4 TELECOM COMERCIO E SERVICOS DE INFORMATICA","204","Vero S.A","3128","http","178","554","2023-01-26T11:08:19.469Z","99","791","798"
"79.63.3.243","elite","AS3269","IT","Telecom Italia S.p.A","53","INTERBUSINESS","5678","socks4","1034","1","2023-01-26T11:08:19.487Z","74","632","854"
"115.75.5.17","elite","AS7552","VN","VIETELxdsl","177","xDSL Services","38351","socks4","950","1","2023-01-26T11:08:19.198Z","100","885","889"
"202.40.186.157","elite","AS23991","BD","Ranks ITT","206","Ranks ITT Ltd.","4145","socks4","963","1","2023-01-26T11:08:19.489Z","99","908","916"
"45.233.0.1","elite","AS267303","BR","Centro Oeste Provedor","229","Centro Oeste Provedor","4153","socks4","963","1","2023-01-26T11:08:19.485Z","100","910","914"
